All statistics are based on contigs of size >= 500 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                                # contigs (>= 0 bp)  # contigs (>= 1000 bp)  # contigs (>= 5000 bp)  # contigs (>= 10000 bp)  # contigs (>= 25000 bp)  # contigs (>= 50000 bp)  Total length (>= 0 bp)  Total length (>= 1000 bp)  Total length (>= 5000 bp)  Total length (>= 10000 bp)  Total length (>= 25000 bp)  Total length (>= 50000 bp)  # contigs  Largest contig  Total length  GC (%)  N50      N90      auN        L50  L90  # N's per 100 kbp
GCA_030361845.2_ASM3036184v2_genomic    68                   60                      48                      42                       36                       34                       5041752                 5036050                    5008053                    4964932                     4865869                     4791457                     68         392065          5041752       65.05   178326   57277    176875.8   11   30   0.00             
GCA_030361865.2_ASM3036186v2_genomic    94                   80                      60                      55                       45                       32                       5004522                 4995428                    4955053                    4917499                     4747356                     4244290                     94         349942          5004522       65.10   153709   40584    155802.2   12   38   0.00             
GCA_030361885.2_ASM3036188v2_genomic    87                   79                      63                      55                       44                       33                       5050687                 5045803                    5006616                    4947538                     4787271                     4381529                     87         349474          5050687       65.04   157827   41651    151876.3   13   37   0.00             
GCA_030361905.2_ASM3036190v2_genomic    76                   68                      56                      49                       40                       35                       5042056                 5036354                    5008356                    4956768                     4816704                     4649289                     76         249354          5042056       65.05   145690   63002    143008.5   14   33   0.00             
GCA_030361925.2_ASM3036192v2_genomic    77                   66                      51                      44                       37                       30                       5050360                 5042579                    5009331                    4957967                     4854069                     4595594                     77         336781          5050360       65.04   176816   51542    181520.3   11   30   0.00             
GCA_030361945.2_ASM3036194v2_genomic    66                   59                      48                      42                       35                       31                       5041939                 5037149                    5014239                    4971118                     4870143                     4720291                     66         412023          5041939       65.05   184809   57277    194943.1   10   28   0.00             
GCA_030361965.2_ASM3036196v2_genomic    78                   71                      53                      46                       37                       29                       5105951                 5101933                    5059270                    5007692                     4853870                     4550393                     78         444669          5105951       65.06   187329   46802    181436.5   11   30   0.00             
GCA_030361985.2_ASM3036198v2_genomic    92                   81                      61                      53                       45                       36                       5093673                 5086710                    5052847                    4993250                     4856825                     4557445                     92         523289          5093673       65.06   131294   40175    169138.5   12   37   0.00             
GCA_030362005.2_ASM3036200v2_genomic    77                   68                      52                      49                       38                       29                       4982362                 4976501                    4944248                    4923915                     4742150                     4383060                     77         302436          4982362       65.12   179297   48771    174135.9   11   32   0.00             
GCA_030362025.2_ASM3036202v2_genomic    92                   80                      62                      55                       45                       30                       5051896                 5044032                    5000289                    4947643                     4767655                     4199442                     92         301766          5051896       65.10   145442   40492    154847.2   12   38   0.00             
GCA_030362045.2_ASM3036204v2_genomic    81                   71                      52                      47                       39                       31                       5045124                 5038261                    4994622                    4961799                     4805030                     4456720                     81         523534          5045124       65.11   160784   48749    184951.7   11   33   0.00             
GCA_030362065.2_ASM3036206v2_genomic    62                   55                      39                      37                       33                       30                       5024558                 5020614                    4986003                    4968132                     4892622                     4773809                     62         490806          5024558       65.14   181474   58073    210411.3   10   26   0.00             
GCA_030362085.2_ASM3036208v2_genomic    86                   75                      60                      52                       43                       37                       5019273                 5011841                    4981006                    4919940                     4770048                     4539706                     86         523412          5019273       65.10   119005   53498    160639.1   14   37   0.00             
GCA_030362105.2_ASM3036210v2_genomic    98                   85                      65                      56                       45                       34                       5018867                 5010189                    4966186                    4897294                     4730297                     4319296                     98         299906          5018867       65.10   124593   40122    139342.3   14   39   0.00             
GCA_030362125.2_ASM3036212v2_genomic    83                   72                      57                      53                       41                       33                       5121621                 5114367                    5079319                    5053717                     4836407                     4546999                     83         602153          5121621       65.03   143508   48748    189305.0   12   35   0.00             
GCA_030362135.2_ASM3036213v2_genomic    100                  88                      71                      59                       46                       35                       5103262                 5095197                    5061107                    4973795                     4756775                     4347446                     100        340515          5103262       65.04   119005   39244    137144.2   14   41   0.00             
GCA_030362155.2_ASM3036215v2_genomic    87                   75                      61                      54                       42                       33                       5000095                 4990932                    4962659                    4911370                     4705677                     4412255                     87         382450          5000095       65.17   162640   32886    162637.6   11   36   0.00             
GCA_030362185.2_ASM3036218v2_genomic    69                   62                      46                      45                       37                       30                       5063515                 5059365                    5024755                    5016836                     4870831                     4599573                     69         303136          5063515       65.06   178269   50229    173595.0   12   30   0.00             
GCA_030362205.2_ASM3036220v2_genomic    62                   55                      39                      39                       33                       27                       4974376                 4970432                    4935823                    4935823                     4821458                     4603010                     62         419228          4974376       65.14   187482   54877    206585.4   10   25   0.00             
GCA_030362225.2_ASM3036222v2_genomic    97                   87                      69                      56                       43                       32                       5187770                 5180460                    5141931                    5036945                     4809281                     4382936                     97         330923          5187770       64.93   161927   37663    153353.5   12   39   0.00             
GCA_030362235.2_ASM3036223v2_genomic    118                  101                     71                      56                       47                       28                       5017256                 5004811                    4931017                    4817816                     4670144                     3973350                     118        275871          5017256       65.22   162884   32149    147565.5   12   42   0.00             
GCA_030362265.2_ASM3036226v2_genomic    79                   71                      55                      50                       44                       30                       4999552                 4994370                    4960469                    4922857                     4819114                     4278594                     79         468657          4999552       65.10   164319   41653    181183.5   10   35   0.00             
GCA_030362285.2_ASM3036228v2_genomic    92                   82                      63                      55                       42                       33                       5025881                 5019035                    4978242                    4917728                     4713917                     4380423                     92         296606          5025881       65.08   146465   40299    145280.9   13   37   0.00             
GCA_030362305.2_ASM3036230v2_genomic    88                   78                      61                      55                       44                       37                       5034689                 5028345                    4987395                    4948412                     4771951                     4512383                     88         601695          5034689       65.11   119005   49900    175469.1   13   38   0.00             
GCA_030362315.2_ASM3036231v2_genomic    82                   72                      56                      49                       41                       37                       5041578                 5034492                    5000134                    4948921                     4834594                     4710139                     82         348953          5041578       65.05   126248   57277    153552.4   13   34   0.00             
GCA_030362325.2_ASM3036232v2_genomic    70                   63                      49                      43                       37                       30                       5011216                 5006428                    4973990                    4934198                     4845953                     4579910                     70         348766          5011216       65.03   155696   52490    173143.9   11   29   0.00             
GCA_030362335.2_ASM3036233v2_genomic    78                   68                      52                      46                       39                       32                       5011779                 5004692                    4970455                    4927335                     4824724                     4567565                     78         374647          5011779       65.03   155696   52631    164948.4   12   31   0.00             
GCA_030362385.2_ASM3036238v2_genomic    77                   70                      56                      49                       39                       34                       5041266                 5036349                    5003915                    4956009                     4798112                     4632225                     77         392247          5041266       65.05   147029   52502    169636.6   12   33   0.00             
GCA_030362405.2_ASM3036240v2_genomic    73                   62                      47                      40                       34                       33                       5050925                 5043032                    5009784                    4958579                     4874665                     4844785                     73         285207          5050925       65.04   186596   69208    174594.0   11   28   0.00             
GCA_030362425.2_ASM3036242v2_genomic    71                   61                      45                      38                       32                       29                       5044241                 5037155                    5002795                    4951436                     4867524                     4750894                     71         583894          5044241       65.05   186737   63011    219830.0   10   26   0.00             
GCA_030362435.2_ASM3036243v2_genomic    85                   75                      56                      50                       45                       37                       4990529                 4983776                    4944136                    4904782                     4805804                     4493158                     85         301310          4990529       65.13   135367   53475    137186.7   14   37   0.00             
GCA_030362465.2_ASM3036246v2_genomic    85                   73                      55                      49                       43                       37                       4989957                 4981945                    4943524                    4901188                     4794952                     4552387                     85         301508          4989957       65.13   129089   58283    137440.4   14   36   0.00             
GCA_030362485.2_ASM3036248v2_genomic    75                   66                      49                      42                       37                       33                       4990632                 4984236                    4951033                    4899997                     4827420                     4689792                     75         314014          4990632       65.06   155696   70211    161166.3   12   30   0.00             
GCA_030362505.2_ASM3036250v2_genomic    73                   62                      48                      42                       34                       32                       5045758                 5037759                    5010711                    4967591                     4843795                     4780803                     73         409526          5045758       65.05   177141   67078    185344.4   11   28   0.00             
GCA_030362525.2_ASM3036252v2_genomic    80                   70                      56                      49                       41                       35                       5040126                 5033040                    5004880                    4953222                     4830212                     4599065                     80         328899          5040126       65.05   136282   52442    150826.7   13   34   0.00             
GCA_030362545.2_ASM3036254v2_genomic    76                   66                      52                      45                       38                       34                       5042926                 5035839                    5007678                    4956470                     4862076                     4712291                     76         348954          5042926       65.05   150991   63069    161939.4   12   31   0.00             
GCA_030362565.2_ASM3036256v2_genomic    87                   77                      60                      52                       42                       35                       5081384                 5074297                    5038063                    4981061                     4832391                     4571515                     87         283455          5081384       65.03   146987   45303    147091.4   13   36   0.00             
GCA_030362585.2_ASM3036258v2_genomic    78                   69                      52                      44                       36                       32                       5050918                 5044611                    5009180                    4952472                     4821279                     4684874                     78         470146          5050918       65.03   165842   56931    187133.1   11   30   0.00             
GCA_030362595.2_ASM3036259v2_genomic    87                   78                      60                      51                       39                       33                       5081559                 5075253                    5037950                    4972765                     4788957                     4569060                     87         328866          5081559       65.02   146579   44570    161898.2   12   34   0.00             
GCA_030362625.2_ASM3036262v2_genomic    77                   70                      56                      49                       42                       38                       5045184                 5040267                    5008869                    4957639                     4857301                     4722159                     77         275767          5045184       65.04   136694   57277    143402.3   14   35   0.00             
GCA_030362645.2_ASM3036264v2_genomic    72                   63                      46                      39                       32                       30                       5057520                 5051213                    5015782                    4967162                     4863383                     4795182                     72         549940          5057520       65.03   177574   69214    220967.9   10   26   0.00             
GCA_030362665.2_ASM3036266v2_genomic    73                   62                      47                      41                       35                       30                       5094898                 5086899                    5053652                    5010532                     4926590                     4738060                     73         284106          5094898       65.01   177574   57277    174212.5   12   28   0.00             
GCA_030362685.2_ASM3036268v2_genomic    76                   65                      50                      43                       38                       35                       5049704                 5041705                    5008458                    4957128                     4883972                     4791941                     76         349216          5049704       65.04   177818   60944    168934.3   12   31   0.00             
GCA_030362695.2_ASM3036269v2_genomic    74                   63                      50                      44                       37                       36                       5051388                 5043390                    5016341                    4973221                     4869341                     4825167                     74         348764          5051388       65.04   155696   60944    165434.5   12   31   0.00             
GCA_030362725.2_ASM3036272v2_genomic    76                   65                      49                      42                       34                       31                       5051703                 5044103                    5010046                    4961706                     4834518                     4711728                     76         512463          5051703       65.02   168330   63012    195124.2   11   29   0.00             
GCA_030362745.2_ASM3036274v2_genomic    75                   66                      51                      44                       36                       34                       5043533                 5037122                    5007563                    4958966                     4844622                     4781566                     75         349028          5043533       65.05   155696   69206    166273.2   12   30   0.00             
GCA_030362765.2_ASM3036276v2_genomic    98                   88                      72                      63                       49                       37                       5039445                 5032359                    4998001                    4930555                     4700017                     4274546                     98         249349          5039445       65.05   120676   33830    124926.6   15   44   0.00             
GCA_035059585.2_WHRI8978v2_ONT_genomic  2                    2                       2                       2                        2                        1                        5160526                 5160526                    5160526                    5160526                     5160526                     5120633                     2          5120633         5160526       64.96   5120633  5120633  5081356.8  1    1    0.00             
